award_id,winner_type,team_id,individual
77838,TEAM,82798,
77839,TEAM,95838,
77840,TEAM,57158,
77840,TEAM,47536,
77841,TEAM,95833,
77842,TEAM,88510,
77843,TEAM,57157,
77844,TEAM,70931,
77844,TEAM,95833,
75076,TEAM,76845,
75077,TEAM,82364,
75077,TEAM,70315,
75078,TEAM,53953,
75079,TEAM,71795,
75080,TEAM,70488,
84589,TEAM,70488,
84589,TEAM,53953,
75813,TEAM,70274,
75814,TEAM,72033,
75814,TEAM,70274,
75819,TEAM,92998,
75820,TEAM,72033,
75821,TEAM,70274,
83401,TEAM,70467,
77287,TEAM,581,
77287,TEAM,63867,
77288,TEAM,581,
77289,TEAM,19159,
77289,TEAM,1136,
77290,TEAM,581,
77312,TEAM,581,
96602,TEAM,19159,
96603,TEAM,81079,
96604,TEAM,97960,
96605,TEAM,581,
96606,TEAM,82182,
96607,TEAM,581,
96608,TEAM,63867,
96608,TEAM,83925,
96609,INDIVIDUAL,,Matt Eftink
96611,TEAM,97390,
96612,TEAM,97960,
96613,TEAM,581,
96614,TEAM,93939,
96615,TEAM,37738,
96616,INDIVIDUAL,,TMT
77455,TEAM,52003,
77456,TEAM,47443,
77456,TEAM,95977,
77457,TEAM,42139,
77458,TEAM,47395,
77459,TEAM,95724,
77460,TEAM,56488,
77461,TEAM,47443,
77464,TEAM,52002,
77465,TEAM,52002,
77465,TEAM,95979,
77466,TEAM,47443,
77467,TEAM,52003,
77468,TEAM,42205,
77468,TEAM,56488,
77845,TEAM,95620,
77845,TEAM,95639,
77846,TEAM,94801,
77847,TEAM,56640,
77848,TEAM,95476,
77849,TEAM,94800,
77850,TEAM,95639,
77851,TEAM,83055,
77852,TEAM,95643,
77853,TEAM,77058,
77854,TEAM,95729,
77854,TEAM,95730,
77855,TEAM,95476,
77856,TEAM,95620,
77858,TEAM,88534,
77858,TEAM,94800,
77875,TEAM,95620,
78551,TEAM,88519,
78551,TEAM,77603,
78552,TEAM,71370,
78552,TEAM,71517,
78553,TEAM,50464,
83472,TEAM,52405,
83473,TEAM,66413,
83473,TEAM,52405,
76270,TEAM,89776,
76271,TEAM,89776,
76271,TEAM,81111,
76272,TEAM,81111,
76273,TEAM,89776,
76350,TEAM,49856,
87223,TEAM,85975,
87224,TEAM,85975,
87224,TEAM,85976,
87225,TEAM,85976,
77165,TEAM,62904,
77166,TEAM,62904,
77166,TEAM,22798,
77167,TEAM,85303,
77168,TEAM,51099,
77169,TEAM,3926,
77170,TEAM,81646,
77171,TEAM,8902,
77172,TEAM,22798,
77173,TEAM,94161,
77174,TEAM,55986,
77174,TEAM,22792,
77176,TEAM,53115,
77177,TEAM,55986,
85701,TEAM,98003,
85702,TEAM,95754,
85703,TEAM,98003,
85704,TEAM,98003,
85705,TEAM,98138,
78836,TEAM,88519,
78836,TEAM,71517,
78838,TEAM,88519,
78839,TEAM,98517,
78840,TEAM,98818,
78841,TEAM,77603,
78842,TEAM,48515,
78843,TEAM,97618,
78844,TEAM,71517,
78845,TEAM,8788,
78845,TEAM,98818,
78846,TEAM,71517,
78847,TEAM,77603,
78849,TEAM,77603,
78849,TEAM,77604,
96477,TEAM,8788,
75321,TEAM,93623,
75322,TEAM,73626,
75322,TEAM,69839,
75325,TEAM,73016,
75332,TEAM,83713,
91126,TEAM,93622,
91127,TEAM,73017,
95232,TEAM,93612,
75558,TEAM,77801,
75558,TEAM,48423,
75560,TEAM,33766,
75561,TEAM,73560,
87551,TEAM,77801,
75035,TEAM,50508,
75036,TEAM,99933,
75036,TEAM,99279,
92222,TEAM,50508,
93524,TEAM,99936,
96929,TEAM,99279,
96930,INDIVIDUAL,,Curt Bland
75874,TEAM,81242,
75875,TEAM,70738,
75875,TEAM,70757,
75876,TEAM,96321,
75877,TEAM,95055,
75878,TEAM,26893,
76763,TEAM,26893,
76764,TEAM,23563,
76765,TEAM,83635,
76766,TEAM,93003,
76767,TEAM,70738,
76768,TEAM,71576,
76768,TEAM,23032,
78057,TEAM,87099,
78058,TEAM,21139,
78058,TEAM,56587,
78059,TEAM,74180,
78060,TEAM,87099,
78061,TEAM,21139,
83815,TEAM,90159,
83815,TEAM,74730,
83816,TEAM,90159,
83817,TEAM,14539,
83818,TEAM,90159,
84006,TEAM,51965,
82066,TEAM,56472,
82066,TEAM,56473,
88622,TEAM,56473,
88623,TEAM,86682,
88624,TEAM,56472,
88625,TEAM,66276,
88627,TEAM,56471,
90760,TEAM,52977,
90760,TEAM,66276,
90761,TEAM,96889,
90761,TEAM,33835,
90761,TEAM,86681,
90761,TEAM,86683,
90762,TEAM,85347,
90762,TEAM,82726,
90762,TEAM,32488,
90762,TEAM,86637,
90762,TEAM,95815,
90762,TEAM,66070,
90762,TEAM,86682,
90762,TEAM,56471,
75919,TEAM,66276,
75920,TEAM,22030,
75920,TEAM,52743,
75921,TEAM,35518,
75922,TEAM,94080,
91275,TEAM,22030,
79655,TEAM,24235,
79656,TEAM,37807,
79656,TEAM,94857,
79660,TEAM,37807,
79661,TEAM,50439,
79662,INDIVIDUAL,,"Remie Corpuz, Remy Galano"
79663,TEAM,24235,
75552,TEAM,93333,
75553,TEAM,93333,
75553,TEAM,56696,
75554,TEAM,24805,
83477,TEAM,71488,
83478,TEAM,70757,
83478,TEAM,70739,
80137,TEAM,96885,
80137,TEAM,94652,
84169,TEAM,94857,
84170,TEAM,24235,
84170,TEAM,94856,
84171,TEAM,50353,
84172,TEAM,241,
89530,TEAM,24640,
89530,TEAM,2176,
92144,TEAM,96114,
92145,TEAM,24640,
79394,TEAM,93495,
79395,TEAM,70274,
79395,TEAM,72033,
79396,TEAM,93495,
79397,TEAM,55500,
79398,TEAM,84068,
79399,TEAM,70274,
76443,TEAM,71517,
76443,TEAM,88519,
84835,TEAM,101334,
84835,TEAM,88534,
84836,TEAM,52832,
84836,TEAM,17761,
84837,TEAM,101334,
95211,TEAM,101331,
95211,TEAM,101333,
86381,TEAM,96815,
86382,TEAM,93003,
86382,TEAM,100842,
86383,TEAM,85024,
86384,TEAM,88172,
86385,TEAM,93003,
99527,TEAM,99160,
99528,TEAM,70964,
75011,TEAM,82086,
75011,TEAM,93897,
75016,TEAM,39226,
75018,TEAM,86201,
83046,TEAM,45820,
75364,TEAM,50083,
75364,TEAM,82171,
75365,TEAM,82171,
75366,TEAM,50377,
75367,TEAM,71810,
75369,TEAM,50085,
75370,TEAM,71809,
75371,TEAM,71695,
75371,TEAM,50084,
75372,TEAM,50546,
75373,TEAM,71703,
97509,TEAM,50546,
97510,TEAM,50205,
75376,TEAM,70364,
75376,TEAM,93030,
75377,TEAM,13915,
75378,TEAM,37300,
75379,TEAM,38569,
75380,TEAM,56440,
75381,TEAM,93030,
75382,TEAM,57089,
75383,TEAM,37300,
75383,TEAM,6946,
75384,TEAM,93030,
75385,TEAM,93029,
95276,TEAM,6946,
75994,TEAM,92998,
75995,TEAM,50480,
75995,TEAM,92998,
75996,TEAM,85916,
75997,TEAM,51053,
75998,TEAM,92998,
84802,TEAM,96257,
84802,TEAM,96258,
88128,TEAM,94128,
88129,TEAM,95330,
88130,TEAM,96257,
88131,INDIVIDUAL,,Lachlan Wilson
75316,TEAM,93005,
75317,TEAM,93005,
75317,TEAM,93007,
75318,TEAM,70331,
75319,TEAM,56257,
75319,TEAM,47917,
75320,TEAM,93005,
91124,TEAM,62587,
95231,TEAM,47917,
96751,TEAM,62588,
82049,TEAM,97266,
82049,TEAM,98699,
82050,TEAM,88685,
82051,TEAM,100046,
88035,TEAM,97266,
75983,TEAM,54334,
75983,TEAM,43612,
75984,TEAM,95502,
75985,TEAM,54334,
75986,TEAM,57402,
83640,TEAM,57614,
83641,TEAM,57402,
82545,TEAM,26590,
82546,TEAM,52997,
82546,TEAM,63527,
82547,TEAM,27883,
82548,TEAM,15502,
82549,TEAM,57632,
82550,TEAM,70340,
82551,TEAM,51053,
82552,INDIVIDUAL,,Cameron Schaeffer
82553,TEAM,15502,
82553,TEAM,51053,
82554,TEAM,72703,
82555,TEAM,26590,
79889,TEAM,81350,
79890,TEAM,83629,
79890,TEAM,81350,
91272,TEAM,13312,
91276,TEAM,57338,
91277,TEAM,41755,
91277,TEAM,13558,
91278,TEAM,81350,
79307,TEAM,72284,
79307,TEAM,79034,
79308,TEAM,72284,
79309,TEAM,65198,
95277,TEAM,72284,
97511,TEAM,82480,
97512,TEAM,57708,
76687,TEAM,70666,
76688,TEAM,62940,
76688,TEAM,62942,
76692,TEAM,62940,
99398,TEAM,71672,
99399,TEAM,70558,
99400,TEAM,54399,
99401,TEAM,62942,
99402,TEAM,95168,
99403,INDIVIDUAL,,Glenn Gee
99404,TEAM,49671,
99405,TEAM,35362,
99406,TEAM,28735,
91944,TEAM,93196,
91945,TEAM,396,
91946,TEAM,94942,
77897,TEAM,74085,
77898,TEAM,74085,
77898,TEAM,12097,
77899,TEAM,85981,
77900,TEAM,12097,
77901,TEAM,51014,
77902,TEAM,58014,
77903,TEAM,33277,
77904,TEAM,85981,
77904,TEAM,33277,
77905,TEAM,12097,
76156,TEAM,56472,
76157,TEAM,50480,
76157,TEAM,93708,
76158,TEAM,56473,
76159,TEAM,93708,
76160,TEAM,52977,
79117,TEAM,71989,
79118,TEAM,75673,
79119,TEAM,93896,
79120,TEAM,96403,
79121,TEAM,556,
92168,TEAM,26893,
92168,TEAM,551,
92171,TEAM,92998,
81225,TEAM,49871,
81226,TEAM,71984,
81226,TEAM,49854,
81227,TEAM,93381,
81228,TEAM,83795,
81229,TEAM,71984,
81230,TEAM,49714,
81231,TEAM,18301,
81232,TEAM,70969,
81233,TEAM,93131,
81234,TEAM,83795,
81235,TEAM,93381,
83078,TEAM,83795,
83078,TEAM,49714,
76848,TEAM,54288,
76849,TEAM,54287,
76849,TEAM,54290,
76850,TEAM,82982,
76874,TEAM,72797,
76875,TEAM,72797,
76875,TEAM,93495,
76876,TEAM,11998,
76877,TEAM,51053,
76878,TEAM,57632,
76879,TEAM,81966,
76880,TEAM,93495,
76609,TEAM,27628,
76610,TEAM,18649,
76610,TEAM,82568,
87712,TEAM,85352,
92216,TEAM,64004,
92217,TEAM,27628,
76352,TEAM,62942,
76352,TEAM,70652,
76353,TEAM,62734,
76354,INDIVIDUAL,,Beverly Adams
76355,TEAM,28735,
76355,TEAM,35362,
76355,TEAM,49671,
82308,TEAM,83025,
82309,TEAM,77123,
94893,TEAM,62516,
94894,TEAM,79330,
84813,TEAM,100812,
84813,TEAM,81184,
84814,TEAM,66174,
84815,TEAM,66174,
84826,TEAM,98758,
84827,TEAM,81184,
80886,TEAM,39529,
80887,TEAM,13309,
80887,TEAM,13282,
80888,TEAM,13282,
80889,TEAM,56904,
80890,TEAM,39529,
80427,TEAM,56640,
80427,TEAM,100728,
80430,TEAM,17704,
80431,TEAM,76348,
80433,TEAM,100729,
80435,TEAM,100728,
80583,TEAM,56640,
91459,TEAM,75958,
91460,TEAM,80595,
79168,TEAM,81181,
79168,TEAM,33766,
79171,TEAM,81180,
94036,TEAM,33766,
79628,TEAM,71795,
79629,TEAM,100016,
79629,TEAM,70488,
79630,TEAM,70312,
79631,TEAM,70315,
79632,TEAM,100016,
84590,TEAM,70313,
84590,TEAM,70315,
91034,TEAM,52942,
91034,TEAM,97529,
91035,TEAM,101126,
91036,TEAM,52942,
92095,TEAM,74597,
92096,TEAM,52942,
92100,TEAM,74596,
89369,TEAM,36145,
89369,TEAM,60494,
89370,TEAM,82296,
89371,TEAM,70842,
89372,TEAM,49048,
90532,TEAM,88298,
88941,TEAM,57157,
88941,TEAM,57158,
88942,TEAM,47536,
88942,TEAM,50492,
88943,TEAM,57157,
97004,TEAM,95484,
97004,TEAM,57159,
96144,TEAM,95743,
96145,TEAM,27505,
96146,TEAM,98136,
96147,TEAM,95537,
96148,TEAM,95742,
97063,TEAM,95743,
97063,TEAM,95537,
86732,TEAM,88519,
86733,TEAM,54133,
86734,TEAM,88539,
86734,TEAM,95977,
91799,TEAM,37807,
91800,TEAM,24640,
91800,TEAM,1046,
91801,TEAM,16996,
91802,TEAM,24640,
91803,TEAM,82188,
91804,TEAM,16996,
95338,TEAM,15085,
74818,TEAM,40099,
74819,TEAM,58159,
74819,TEAM,35995,
74820,TEAM,5976,
74821,TEAM,46726,
74822,TEAM,40093,
75203,TEAM,98477,
75203,TEAM,95203,
75204,TEAM,24901,
75205,TEAM,46684,
75206,TEAM,95203,
94123,TEAM,98477,
75279,TEAM,40228,
75280,TEAM,40228,
75280,TEAM,30058,
75281,TEAM,4526,
75283,TEAM,93735,
75283,TEAM,47080,
75284,TEAM,93735,
94866,TEAM,26005,
97117,TEAM,49777,
97275,INDIVIDUAL,,"Jill Crowley, Sparks ES  9290"
75643,TEAM,75673,
75644,TEAM,75673,
75644,TEAM,55966,
75645,TEAM,56263,
75646,TEAM,70385,
75647,TEAM,62439,
96658,TEAM,79330,
75001,TEAM,21820,
75001,TEAM,21811,
75003,TEAM,33427,
75004,TEAM,18688,
75005,TEAM,37162,
75005,TEAM,49971,
75006,TEAM,48153,
76946,TEAM,37162,
97119,INDIVIDUAL,,Joy Martineau
76704,TEAM,81679,
76705,TEAM,81679,
76705,TEAM,39493,
76706,TEAM,64767,
76707,TEAM,92008,
76707,TEAM,94436,
76708,TEAM,79305,
97114,TEAM,81680,
97115,TEAM,100618,
97116,TEAM,64767,
76664,TEAM,45784,
76665,TEAM,45784,
76665,TEAM,50276,
76666,TEAM,87708,
76667,TEAM,58262,
93998,TEAM,58262,
93998,TEAM,93088,
97121,TEAM,91796,
97123,TEAM,93088,
75441,TEAM,83017,
75441,TEAM,62875,
75442,TEAM,56649,
75443,TEAM,63682,
75444,INDIVIDUAL,,FRC Team 2068 - The Metal Jackets
75445,TEAM,74173,
94831,TEAM,4086,
94832,TEAM,87420,
94832,TEAM,4111,
97243,INDIVIDUAL,,Rebecca Domigan-Brown
75936,TEAM,7166,
75936,TEAM,7171,
75938,TEAM,84183,
75939,INDIVIDUAL,,The Tsai Family
75941,TEAM,70763,
96156,TEAM,7166,
96157,TEAM,97044,
96158,TEAM,27937,
96158,TEAM,16897,
77432,TEAM,64316,
77432,TEAM,76749,
78207,TEAM,76749,
78208,TEAM,64315,
78210,TEAM,64315,
97118,TEAM,64316,
82225,TEAM,70324,
82226,TEAM,68986,
82226,TEAM,98932,
82227,TEAM,94820,
82228,TEAM,81741,
82229,TEAM,54840,
82230,TEAM,98932,
82231,TEAM,72426,
82232,TEAM,68986,
82233,TEAM,56071,
82234,INDIVIDUAL,,Jon Jack
82235,TEAM,70324,
77003,TEAM,78677,
77003,TEAM,82755,
77004,TEAM,97598,
83150,TEAM,88613,
79005,TEAM,64029,
79005,TEAM,27289,
79006,TEAM,49852,
79007,TEAM,94610,
79008,TEAM,83795,
79010,TEAM,87646,
79012,TEAM,94610,
83079,TEAM,83795,
77130,TEAM,76493,
77131,TEAM,76493,
77131,TEAM,75717,
77132,TEAM,75717,
77133,TEAM,99998,
77134,TEAM,20536,
77134,TEAM,52679,
77136,TEAM,75717,
79084,TEAM,76493,
76298,TEAM,32725,
76298,TEAM,60063,
76299,TEAM,32620,
76300,TEAM,32725,
76301,TEAM,33958,
76302,TEAM,59870,
76304,TEAM,59870,
76304,TEAM,32620,
76975,TEAM,83635,
76976,TEAM,95168,
76976,TEAM,82206,
76977,TEAM,80242,
76978,TEAM,89489,
76979,TEAM,63523,
76980,TEAM,94697,
76981,TEAM,82206,
75208,TEAM,18745,
75209,TEAM,63768,
75209,TEAM,18745,
75210,TEAM,24223,
75213,TEAM,56696,
75213,TEAM,94076,
79391,TEAM,63199,
79391,TEAM,14035,
79392,TEAM,14035,
79615,TEAM,14035,
87146,TEAM,70457,
94203,TEAM,63199,
76394,TEAM,81059,
76395,TEAM,93292,
76395,TEAM,81059,
76396,TEAM,85916,
76397,TEAM,93292,
76398,TEAM,4646,
76399,TEAM,37300,
76400,TEAM,93030,
76401,TEAM,50546,
76402,TEAM,93004,
76402,TEAM,56122,
76403,TEAM,81059,
76404,TEAM,50205,
76405,TEAM,6946,
77199,TEAM,66087,
77200,TEAM,61395,
77200,TEAM,54902,
77201,TEAM,61395,
77202,TEAM,49636,
77204,TEAM,61395,
77205,TEAM,49636,
77205,TEAM,57072,
84462,TEAM,40162,
84463,TEAM,67487,
84463,TEAM,52004,
84464,TEAM,54133,
84465,TEAM,97618,
84466,TEAM,8860,
84467,TEAM,95480,
84468,TEAM,56488,
84469,TEAM,98976,
84470,TEAM,47443,
84471,TEAM,97111,
84472,TEAM,95481,
84472,TEAM,95730,
84473,TEAM,71517,
84474,TEAM,77603,
84475,TEAM,52003,
84475,TEAM,88521,
86024,TEAM,60562,
86024,TEAM,85685,
86025,TEAM,85685,
86026,TEAM,100346,
86026,TEAM,101055,
86027,TEAM,101055,
86028,TEAM,100346,
86029,TEAM,99597,
86030,TEAM,88971,
86430,TEAM,102180,
86431,TEAM,86407,
86432,TEAM,101055,
86433,TEAM,99677,
86434,TEAM,89400,
76862,TEAM,50636,
76863,TEAM,66708,
76863,TEAM,71108,
76864,TEAM,62569,
76865,TEAM,50636,
77430,TEAM,47284,
77430,TEAM,40228,
94088,TEAM,4416,
94089,TEAM,47080,
94089,TEAM,4556,
94090,TEAM,50004,
94091,TEAM,40228,
81241,TEAM,85173,
81241,TEAM,56650,
81242,TEAM,72629,
81292,TEAM,56650,
81293,TEAM,85173,
93558,TEAM,85173,
94200,TEAM,55328,
94201,TEAM,97482,
94202,TEAM,60588,
78142,TEAM,57495,
78142,TEAM,77425,
78143,TEAM,45823,
78144,INDIVIDUAL,,Nick Leftridge
78145,TEAM,32578,
83043,TEAM,95526,
93921,TEAM,49048,
81769,TEAM,53103,
81770,TEAM,65095,
81770,TEAM,53103,
81772,TEAM,48108,
81774,TEAM,93615,
81775,TEAM,48108,
81775,TEAM,59870,
81776,TEAM,65095,
81779,TEAM,99123,
79096,TEAM,63522,
79097,TEAM,81056,
79097,TEAM,83025,
79098,TEAM,83025,
79099,TEAM,81056,
79100,TEAM,55589,
79101,TEAM,77123,
79531,TEAM,88764,
81423,TEAM,37732,
81424,TEAM,37732,
81424,TEAM,50276,
81426,TEAM,62917,
81426,TEAM,93088,
81427,TEAM,37732,
77551,TEAM,58597,
77551,TEAM,100150,
80678,TEAM,100150,
80679,TEAM,101108,
80680,TEAM,94639,
78589,TEAM,61235,
78590,TEAM,95168,
78590,TEAM,96707,
78591,TEAM,54511,
78592,TEAM,69406,
78593,TEAM,100000,
98869,TEAM,96707,
76255,TEAM,18352,
76256,TEAM,70738,
76256,TEAM,70757,
76257,TEAM,93449,
76258,TEAM,63116,
76259,TEAM,82613,
76260,TEAM,81242,
76260,TEAM,93452,
76261,TEAM,92941,
76262,INDIVIDUAL,,Tanvi Thummala
87811,TEAM,81192,
81843,TEAM,97237,
81844,TEAM,97237,
81844,TEAM,21817,
81845,TEAM,37162,
81846,TEAM,94605,
81847,TEAM,97237,
82052,TEAM,37162,
82052,TEAM,49971,
84081,TEAM,13312,
84082,TEAM,13246,
84082,TEAM,13312,
84083,TEAM,13552,
84085,TEAM,13309,
84449,TEAM,71370,
84449,TEAM,48814,
84450,TEAM,95329,
84451,TEAM,52001,
84452,TEAM,39757,
84453,TEAM,32686,
84454,TEAM,50492,
84455,TEAM,95149,
84456,TEAM,56592,
84457,TEAM,52701,
84458,TEAM,48812,
84458,TEAM,84500,
84459,TEAM,81784,
84460,TEAM,81783,
84461,TEAM,32686,
84461,TEAM,48815,
86557,TEAM,86304,
86557,TEAM,93286,
86559,TEAM,93286,
89806,TEAM,66404,
89806,TEAM,93285,
94462,TEAM,93285,
79444,TEAM,60126,
79444,TEAM,25795,
79445,TEAM,60126,
79446,TEAM,98631,
79447,INDIVIDUAL,,Margaret Strong
79448,TEAM,57737,
94877,TEAM,86164,
94877,TEAM,87637,
98529,TEAM,60126,
98530,TEAM,101245,
98531,TEAM,57655,
98617,TEAM,57737,
99104,TEAM,50805,
77257,TEAM,98409,
77258,TEAM,88053,
77258,TEAM,26050,
77259,TEAM,98681,
77260,TEAM,100058,
77261,INDIVIDUAL,,Ying-Han Chen (陳穎瀚)
77262,TEAM,88053,
94225,TEAM,95549,
94227,TEAM,96274,
94228,TEAM,88843,
94228,TEAM,15931,
94229,TEAM,100170,
90217,TEAM,28924,
90218,TEAM,43228,
90218,TEAM,57055,
90219,TEAM,28924,
90219,TEAM,77689,
90220,TEAM,28924,
82269,TEAM,53103,
82270,TEAM,72670,
82271,TEAM,99047,
82272,TEAM,64287,
82272,TEAM,57610,
82273,TEAM,64287,
82897,TEAM,53103,
82897,TEAM,99047,
90407,TEAM,63437,
90408,TEAM,63437,
90408,TEAM,65756,
90409,TEAM,2606,
90410,TEAM,63437,
96374,TEAM,13411,
74838,TEAM,88121,
74838,TEAM,81276,
74840,TEAM,94554,
74841,TEAM,89079,
74841,TEAM,81277,
74842,TEAM,81279,
89330,TEAM,88121,
89331,TEAM,62595,
84426,TEAM,65961,
84427,TEAM,65961,
84427,TEAM,75214,
84428,TEAM,73860,
84429,TEAM,66046,
84431,TEAM,97764,
94966,INDIVIDUAL,,Nicolas Sendra
84080,TEAM,84626,
84080,TEAM,76774,
80018,TEAM,90206,
80018,TEAM,82736,
80019,TEAM,76643,
80020,TEAM,49201,
80021,TEAM,74357,
80023,TEAM,52977,
80024,TEAM,33835,
94899,TEAM,63835,
94900,INDIVIDUAL,,George Parks
94901,TEAM,63545,
94902,TEAM,52977,
94903,INDIVIDUAL,,Rachael Melton
95176,TEAM,56472,
74870,TEAM,72717,
74871,TEAM,85352,
74871,TEAM,17848,
74872,TEAM,85352,
93510,TEAM,2606,
75456,TEAM,77974,
75456,TEAM,50694,
75457,TEAM,50546,
75458,TEAM,50694,
75459,TEAM,77974,
75461,TEAM,63522,
75462,TEAM,58754,
75462,TEAM,56222,
75463,TEAM,50694,
75464,TEAM,81237,
75465,TEAM,56222,
75466,TEAM,63523,
90740,TEAM,79330,
75799,TEAM,40099,
75800,TEAM,61395,
94681,TEAM,61395,
94682,TEAM,61395,
94682,TEAM,40099,
94683,TEAM,50538,
77298,TEAM,4416,
77299,TEAM,50003,
77299,TEAM,30058,
77300,TEAM,40219,
77301,TEAM,94625,
77302,TEAM,40228,
77302,TEAM,4416,
77303,TEAM,30058,
74858,TEAM,93005,
74859,TEAM,70274,
74859,TEAM,26893,
74860,TEAM,49926,
74861,TEAM,26893,
74862,TEAM,49679,
74863,TEAM,70274,
74864,TEAM,38170,
74865,TEAM,70274,
78755,TEAM,70373,
78756,TEAM,56696,
78756,TEAM,70373,
92210,TEAM,93333,
82279,TEAM,56961,
82280,TEAM,72282,
82280,TEAM,56961,
82284,TEAM,56939,
82285,TEAM,64332,
82287,TEAM,56961,
90334,TEAM,7993,
90334,TEAM,62532,
76136,TEAM,78495,
76136,TEAM,81649,
77129,TEAM,89097,
89884,TEAM,94438,
89885,TEAM,94438,
89885,TEAM,62946,
89886,TEAM,48112,
89887,TEAM,62950,
89887,TEAM,6091,
89888,TEAM,62946,
96717,INDIVIDUAL,,York High School
81428,TEAM,45781,
81429,TEAM,37732,
81429,TEAM,58262,
81430,TEAM,87707,
81431,TEAM,45784,
81431,TEAM,50276,
81432,TEAM,58262,
83527,TEAM,72033,
83528,TEAM,72033,
83528,TEAM,88735,
83529,TEAM,88735,
83530,TEAM,89238,
96265,TEAM,88735,
96866,TEAM,87086,
82023,TEAM,18781,
82024,TEAM,18781,
82024,TEAM,66259,
82025,TEAM,34156,
82236,TEAM,34156,
82237,TEAM,77289,
96139,TEAM,95744,
96140,TEAM,103632,
96141,TEAM,103634,
96142,TEAM,98003,
96143,TEAM,95061,
97064,TEAM,95062,
97064,TEAM,95744,
86317,TEAM,22390,
86317,TEAM,22393,
86318,TEAM,22393,
86319,TEAM,47038,
86320,TEAM,47035,
86320,TEAM,37030,
86321,TEAM,47035,
75567,TEAM,93592,
75567,TEAM,33766,
75568,TEAM,77801,
75569,TEAM,81650,
75570,TEAM,77801,
83588,TEAM,49508,
83589,TEAM,59508,
83591,TEAM,47797,
96869,TEAM,51329,
96870,TEAM,35194,
86322,TEAM,63050,
86323,TEAM,57826,
86323,TEAM,37027,
86324,TEAM,57830,
91119,TEAM,83751,
91119,TEAM,71630,
91564,TEAM,75686,
91843,TEAM,83752,
99494,TEAM,71626,
79807,TEAM,52745,
79808,TEAM,48254,
79808,TEAM,96219,
79809,TEAM,56036,
79811,TEAM,99917,
81145,TEAM,45820,
81145,TEAM,86201,
81147,TEAM,27334,
81148,TEAM,68243,
81149,TEAM,86201,
81150,TEAM,75015,
81151,TEAM,39226,
81152,TEAM,27334,
81153,TEAM,93134,
94504,TEAM,45820,
94506,TEAM,93135,
84611,TEAM,39529,
84612,TEAM,39529,
84612,TEAM,13312,
84613,TEAM,13282,
84614,TEAM,13312,
84615,TEAM,39529,
94953,INDIVIDUAL,,Ethan Crowder and Paul Spencer
83048,TEAM,90363,
83049,TEAM,48469,
83049,TEAM,86263,
83050,TEAM,75711,
83051,TEAM,18328,
94475,TEAM,86263,
